"broad_interest","enjoyment","instrumental_mot","self_efficacy"
2.8,3,2,1.875
2,2,2,2.125
1.8,3,3,3
1,2,2,1.75
3,3,2,2
1,1,2,2.57142857142857
1,2,2.75,2.875
2.6,2.2,2,3
1.8,2,2.5,2.5
2,2,1,2.5
3,4,1.25,1.625
2.8,2.6,3.75,2.75
2,1,1,1
2.4,2.6,2.5,2.5
1,3,1,2.375
3,1.6,2.75,2.25
2.6,3,2,1
2,3,2,3.28571428571429
2.8,3,2,1.875
2.6,3,2,2.125
1,3,2,1.375
1.4,2.2,2,1.875
3.2,3,2,2.625
3.2,3.2,2,2.25
3.4,3.2,2.5,2.125
4,3.8,2,2
2.8,3.8,1,2.375
2.4,2.8,1,2
3,2.8,2,2
3,2.4,2,2
3.2,3.6,2,2.14285714285714
2.2,2.2,2.5,2.125
3.2,2.4,1,2.125
1.2,2.8,3,1.875
2.4,2.8,1.75,1.375
2.6,2.2,2,2.25
2.2,2.4,2.5,2.5
2.8,2.4,2.75,2.375
2.8,3,1.5,2.625
2,2,1.75,2.28571428571429
2.8,3.8,2.25,1.625
2,3,2,2
1,1,2.75,1
3.8,2.2,1.25,2.375
2,3.8,1,1.375
4,4,1,1
3,3.8,1,1.375
1.8,2.8,2,3.28571428571429
2.2,2.2,2.75,2.25
4.8,4,4,1
3,2.6,1,2.75
2.8,3,2.25,4
2.4,2.6,2.75,2.125
2.8,3.6,1,1.75
2.4,3,2,2.625
3.2,4,1,1
3.4,3,1,3.125
3,4,2,2
2.4,3.4,1,1.5
3,2.6,2,1.5
3,3,2,3
2.6,3,2,2.625
2,2.6,1.75,2.625
1,1.2,1,3.5
2.6,2.6,2.75,2.25
3.4,2.6,2,2.5
3,4,1.75,1
3,2.4,2,1.5
2,2,3,2
3.4,4,2,1.25
3,2,2,1.5
3,2,2,1.75
3.2,3,2.5,1.875
3,3.4,1,2.25
3,3,2,2
2.6,4,2,1.75
3,2.8,2,2
2,3,1.66666666666667,2.125
3,2.6,1,2.5
1.5,1,2,2.625
2,2,2,4
4,3,2,2
3,3,2,1.875
1.4,1,2.75,3
1,2,4,2.25
2.4,2.4,2.25,3.125
2.8,3,2,2.375
1.6,1.2,2.75,2.5
3.2,3.6,1.25,2.125
3.4,3.2,2,1.875
3,3,2,2
2.8,3.8,2.25,1.875
2.4,2.6,3,3.125
2.8,2.2,2.5,1.5
3.8,4,1,1.375
3.2,2.8,2,2
1.2,2.6,2,2
2,3,2,3.75
2.4,2.8,1,2
2.8,3,1.25,3.125
3,3,2.25,1.875
3.2,3.8,2,1.14285714285714
2.2,2.4,3.75,2.125
3,2,2,1
3,2.8,3,2.625
2.8,1.2,2.25,3.125
2.6,3,2,2.375
3,3,2,1
3,3.8,1.25,1.75
2,2.6,2,2
3.8,3,2,1.625
3,3,2,1
3.2,3,2,1.5
3.4,4,1,1.5
1.4,1,3.75,3.75
4,4,1,2.5
3.6,4,1.5,1.25
1.6,3,1.25,1.75
3,3,2.25,1.625
1,2.6,3,4
3.6,4,1.25,1.75
1,2,2,1
1.2,1,2,2
2,2,3,1.625
2.8,3.8,2,3.125
2,1.6,1,2.75
2.8,3,1.25,1.75
3,3,2,1
2.4,2.6,3,2.75
2.6,2.8,2.25,2.25
3.2,2.8,2,1.625
2.4,2.8,2,2.375
2.4,3,2,2.5
3.2,3,1,1.375
3,3,1,2
4.4,3.4,2.75,2.71428571428571
1.8,1,2.5,2.5
2.8,2.6,2.5,2.5
2.6,2.5,2.5,2.25
3.4,4,4,1.75
2.8,2.8,2.75,2.75
2.6,2.8,2,1
3.4,3,1,1.75
2.8,2.4,2,1
1,1.4,1.25,2.75
3.2,4,1,1
3.5,3,1.25,1.875
2,2,2.75,2.875
2.8,2,2,2
3,2,1,2.625
2.6,4,2.5,1.75
3.2,2.8,2.5,1.75
2,3,1,1.75
2.8,2.4,2.75,1
2.8,2,2.5,1.5
3.4,3,2,2
3.2,3,2,2.75
3.2,3,2,2
2.6,2.2,2.75,2.25
3.8,3.4,1,1
3,3,2.25,3
3,3,2,2
1,2.2,2.75,2.875
2,1,2.75,1
3.8,3,2,2.625
